;#META# 000.SortField;#META# 000.BookURI;#META# 010.AuthorAKA;#META# 010.AuthorNAME;#META# 011.AuthorBORNH;#META# 012.AuthorBORNC;#META# 013.AuthorDIEDH;#META# 014.AuthorDIEDC;#META# 015.Author Geographical Area;#META# 016.Century;#META# 020.BookTITLE;#META# 020.BookTITLESUB;#META# 021.BookSUBJ;#META# 022.BookVOLS;#META# 025.BookLANG;#META# 029.BookTITLEalt;#META# 030.LibURI;#META# 030.LibURIextra;#META# 031.LibREADONLINE;#META# 031.LibURL;#META# 031.LibURLFILE;#META# 031.LibURLextra;#META# 040.EdALL;#META# 040.EdEDITOR;#META# 041.EdNUMBER;#META# 041.EdNumber;#META# 043.EdPUBLISHER;#META# 044.EdPLACE;#META# 045.EdYEAR;#META# 049.EdISBN;#META# 049.EdPAGES;#META# 049.EdPHYSICAL;#META# 049.EdVOLUME;#META# 090.RecMISC;#META# 091.Number of tokens;#META# 092.Tagging;#META# 999.MiscINFO
Fiqh32;JK_000289;0897IbnYusufCabdariGharnati.TajWaIklilLiMukhtasarKhalil; المواق; محمد بن يوسف بن أبي القاسم العبدري أبو عبد الله; NODATA; NODATA;897;1491-92; Islamic West;9th/15th century; التاج والإكليل لمختصر خليل; NODATA; فقه المالكي ;6; NODATA; التاج والإكليل;JK_000289; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; الثانية; NODATA; دار الفكر; بيروت;1398; NODATA; NODATA; NODATA; NODATA; NODATA;781273;Books ### |, chapters ### ||, subchapters ### ||| Quran @QB@  @QE@; NODATA
Fiqh33; JK_000787;0884IbnMuflih.MubdicFiSharhMuqnic; ابن مفلح; إبراهيم بن محمد بن عبد الله بن مفلح الحنبلي أبو إسحاق;816;1413;884;1479; Fertile Crescent ;9th/15th century; المبدع في شرح المقنع; NODATA; فقه حنبلي;10; NODATA;  NODATA; JK_000787; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; المكتب الإسلامي; لبنان بيروت;1400; NODATA; NODATA; NODATA; NODATA; NODATA;998921;Books ### |, Chapters ### ||, subchapters ### |||, Quran @QB@ @QE@; NODATA
Fiqh34; JK_000119;0829TaqiDinDimashqiHisni.KifayatAkhyar;تقي الدين الحصني; أبو بكر بن محمد بن عبد المؤمن بن حريز بن معلى الحسيني الحصني تقي الدين الشافعي;752;1351;829;1425; Fertile Crescent ; 9th/15th century; كفاية الأخيارفي حل غاية الإختصار; NODATA; فقه شافعي;1; NODATA; كفاية الأخيار; JK_000119; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; علي عبد الحميد بلطجي و محمد وهبي سليمان; الأولى; NODATA; دار الخير; دمشق;1994; NODATA; NODATA; NODATA; NODATA; NODATA;222002;Books ### |, chapters ### || Quran @QB@ @QE@; NODATA
Fiqh35; Shia_000126Vols;0841JamalDinIbnFahdHilli.MuhadhdhabBaric; ابن فهد الحلي;أبو العباس جمال الدين أحمد بن شمس الدين محمد بن فهد الحلي الأسدي ;756;1355;841;1437; Fertile Crescent ; 9th/15th century; المهذب البارع; NODATA;فقه شيعي;5; NODATA; NODATA; Shia_000126Vols; NODATA; http://shiaonlinelibrary.com/الكتب/126_المهذب-البارع-ابن-فهد-الحلي-ج-1; NODATA; NODATA; NODATA; NODATA; الشيخ مجتبى العراقي; NODATA; NODATA; NODATA; NODATA; غرة رجب المرجب 1407; NODATA; NODATA; NODATA; NODATA; NODATA;998921;Books ### |, Quran @QB@ @QE@; NODATA
Fiqh36; JK_000189;0970IbnIbrahimIbnNujaymMisri.BahrRaiq; ابن نجيم; زين الدين ابن نجيم الحنفي;926;1547;970;1563; Fertile Crescent ; 10th/16th century; البحر الرائق شرح كنز الدقائق; NODATA;فقه حنفي;8; NODATA; البحر الرائق; JK_000189; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; الثانية; NODATA; دار المعرفة; بيروت لبنان ; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA;1730647; Books ### |, Quran @QB@ @QE@ ; NODATA
Fiqh37; JK_000888;0977KhatibShirbini.MughniMuhtaj; الشربيني; شمس الدين، محمد بن أحمد الخطيب الشربيني الشافعي; NODATA; NODATA;977; NODATA;Fertile Crescent; 10th/16th century; مغني المحتاج إلى معرفة معاني ألفاظ المنهاج; NODATA; فقه شافعي;4; NODATA; مغني المحتاج; JK_000888; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; دار الفكر; بيروت لبنان; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA;1186694;Books ### |, Chapters, subchapters ### |||, ### ||, Quran @QB@ @QE@; NODATA
Fiqh38; NOCODE;0995Manjur.SharhManhajMuntakhab; أحمد المنجور;   المنجور أحمد بن علي المنجور; NODATA; NODATA;995; NODATA; Islamic West;   10th/16th century; شرح المنهج المنتخب إلى قواعد المذهب; NODATA; فقه مالكي;2; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; محمد الشيخ محمد الأمين ; NODATA; NODATA;  دار عبد الله الشنقيطي; مكة ، المملكة السعودية ;2003; NODATA; NODATA; NODATA; NODATA; NODATA;126657; Books ### | Quran @QB@ @QE@ ; NODATA
Fiqh39; Shamela_0013664;0972IbnAhmadIbnNajjarHanbali.MuntahaIradat; ابن النجار;  تقي الدين محمد بن أحمد الفتوحي الحنبلي الشهير بابن النجار;898;1492;972;1564; Fertile Crescent;  10th/16th century; منتهى الإرادات; NODATA;فقه حنبلي;5; NODATA; NODATA; NODATA; NODATA; http://shamela.ws/browse.php/book-13664; http://shamela.ws/index.php/book/13664; NODATA; NODATA; NODATA; عبد الله بن عبد المحسن التركي;1; NODATA; مؤسسة الرسالة; بيروت لبنان ; 1419 1999; NODATA; NODATA; NODATA;5; NODATA;140806; Books ### |, Chapters ### ||, Quran @QB@ @QE@; NODATA
Fiqh4; Shamela_0026883;0311AbuBakrKhallal.WuqufWaTarajjul;أبو بكر الخلال; أبو بكر أحمد بن محمد بن هارون بن يزيد الخلال البغدادي الحنبلي ;234;848-49;311;923-24;Fertile Crescent;2ndH/8thC and 3rdH/9thC century; الوقوف والترجل من الجامع لمسائل الإمام أحمد بن حنبل; NODATA; فقه حنبلي; 1; NODATA; NODATA; Shamela_0026883; NODATA; http://shamela.ws/browse.php/book-26883; http://shamela.ws/index.php/book/26883; NODATA; NODATA; NODATA; سيد كسروي حسن;1; NODATA; دار الكتب العلمية; بيروت لبنان; 1415 1994; NODATA; NODATA; NODATA; NODATA; NODATA;32349;Chapters ### ||, Quran @QB@ @QE@, Hadith @HB@; NODATA
Fiqh40; Shia_000134Vols;0940IbnHusaynMuhaqqiqThaniKaraki.JamicMaqasid; المحقق الكركي ; علي بن حسين بن علي بن محمد بن عبد العالي الكركي العاملي;868;1463;940;1533; Fertile Crescent;  10th/16th century; جامع المقاصد في شرح القواعد; NODATA;فقه شيعي;13; NODATA; NODATA; Shia_000134Vols; NODATA; http://shiaonlinelibrary.com/الكتب/134_جامع-المقاصد-المحقق-الكركي-ج-1; NODATA; NODATA; NODATA; NODATA; مؤسسة آل البيت عليهم السلام لإحياء التراث;1; NODATA; NODATA; NODATA; ربيع الأول 1408; NODATA; NODATA; NODATA; NODATA; NODATA;1171577; Books ### |, Quran @QB@ @QE@; NODATA
